loan_id,origination_date,sector,loan_type,collateral,initial_rating,credit_score,ead,defaulted,pd_raw,pd_calibrated,lgd_predicted,ecl_predicted,risk_band,pd_covid_stressed,lgd_covid_stressed,ecl_covid_stressed,covid_incremental_ecl
L000003,2023-08-01,Real_Estate,bond,secured,BBB,699,4327864.12,0,0.08065009920401812,0.032306499130250646,0.34299609119915725,47957.07495976036,Very Low,0.09086060284606466,0.40019068940661673,157367.92243376645,109410.84747400609
L000006,2023-06-01,Industrials,mortgage,secured,B,628,76645.49,0,0.2505732131510222,0.11397189691088269,0.4557095152892671,3980.8194301393946,Medium,0.28588405863965927,0.5165011646288553,11317.430839839286,7336.611409699892
L000015,2023-07-01,Utilities,term_loan,unsecured,BBB,658,9141471.35,0,0.13510507288241175,0.048921332487824876,0.567841333994845,253946.00341213218,Very Low,0.12568627183304643,0.6580199458459313,756036.9210353098,502090.91762317764
L000016,2023-06-01,Telecom,term_loan,secured,B,668,712549.16,0,0.44318425419455965,0.37241980964503774,0.46370170787155507,123051.32704060184,Very High,0.9341736209671019,0.5255595157016205,349835.868801567,226784.54176096516
L000024,2023-11-01,Industrials,mortgage,partially_secured,CCC,669,4576527.65,0,0.6267711316782257,0.7181823944570428,0.5828489551271204,1915697.2131170917,Very High,1.0,0.6606010057410783,3023258.7683918537,1107561.555274762
L000028,2023-07-01,Telecom,mortgage,secured,BBB,702,1195035.99,0,0.197354767843296,0.07775522236640141,0.4458167235048409,41425.41885076054,Low,0.1950403167230963,0.5052886744203867,117772.78427353193,76347.36542277139
L000049,2023-09-01,Consumer,mortgage,unsecured,B,648,806712.79,1,0.26647420270335237,0.12735229971806,0.7040417175173761,72330.94315028256,Medium,0.3000802167255551,0.7894227767144832,191102.3202228718,118771.37707258922
L000056,2023-04-01,Real_Estate,bond,partially_secured,BBB,702,849396.49,0,0.09228133321725025,0.035320983084756875,0.49416986445529704,14825.846605130131,Very Low,0.09933870591356035,0.5765726893532178,48650.0204720304,33824.17386690027
L000062,2023-12-01,Consumer,revolving,secured,AA,754,121582.51,0,0.26539551819463947,0.1264037387521565,0.498781862341604,7665.520986528892,Medium,0.2978451225744806,0.5592704991019403,20252.72701337734,12587.20602684845
L000072,2023-12-01,Telecom,term_loan,secured,CCC,632,2536560.22,1,0.6253422861081755,0.7158811071991289,0.4491664741802119,815630.4132998026,Very High,1.0,0.5090852818358521,1291325.4744923112,475695.06119250867
L000080,2023-01-01,Telecom,term_loan,secured,BBB,697,813398.69,0,0.10526769917775862,0.03900676045378995,0.446430490160574,14164.367955413898,Very Low,0.09784411492515471,0.5059843175479946,40269.406993654644,26105.039038240746
L000092,2023-03-01,Industrials,term_loan,partially_secured,AAA,824,2992046.84,0,0.08655904268809819,0.033805495957338706,0.5447477170016244,55099.93908110709,Very Low,0.08479680211137879,0.617417062449641,156648.58976232223,101548.65068121513
L000095,2023-03-01,Technology,revolving,unsecured,BB,682,1030870.3,0,0.11345268380657601,0.04151655750557452,0.7441578612951064,31848.6066285942,Very Low,0.10161210469020784,0.8268834102090791,86615.1283468839,54766.521718289696
L000103,2023-10-01,Healthcare,term_loan,secured,A,815,487024.93,0,0.08575323056564783,0.033597189703165664,0.42101784688494176,6888.975656253721,Very Low,0.07610080977085183,0.4795217851916618,17772.51187336308,10883.536217109358
L000105,2023-09-01,Utilities,bond,unsecured,B,687,12002124.48,0,0.16063870514001918,0.05926195565118136,0.5951156153622125,423287.50801464985,Very Low,0.15225289027411548,0.6896256428494972,1260193.0330549,836905.52504025
L000113,2023-09-01,Technology,revolving,unsecured,BBB,749,443788.96,0,0.13422342473211787,0.04859673088450493,0.7737360568557119,16686.927737110753,Very Low,0.11894088534616902,0.8597497151761718,45381.589358680896,28694.661621570143
L000114,2023-05-01,Utilities,mortgage,unsecured,BBB,719,9014413.89,0,0.06782233678525984,0.029270325678720795,0.5723114365085978,151007.13699482926,Very Low,0.0751998754492852,0.6631999432112728,449571.835641945,298564.6986471157
L000146,2023-10-01,Real_Estate,revolving,unsecured,BBB,730,2033263.87,0,0.08326336063961921,0.03296134661682,0.5601127441297599,37538.260514033565,Very Low,0.09270233249810883,0.6535115442133973,123179.28217739804,85641.02166336447
L000166,2023-10-01,Real_Estate,revolving,secured,BB,681,257318.18,0,0.2891739576282008,0.1487569486018855,0.3512760243976007,13446.097039339804,High,0.41837235204641343,0.4098513014659006,44122.464885508445,30676.367846168643
L000178,2023-07-01,Utilities,revolving,partially_secured,CCC,649,5916711.21,0,0.564760186906073,0.6090261242417474,0.5247074361927131,1890747.406957678,Very High,1.0,0.6080359742737941,3597573.265069029,1706825.8581113508
L000188,2023-06-01,Retail,mortgage,unsecured,BBB,674,106271.98,0,0.09884094432214294,0.03713876513018221,0.744750314931603,2939.388068777817,Very Low,0.08864324438610634,0.8303966011487376,7822.579367527124,4883.191298749307
L000195,2023-03-01,Industrials,mortgage,secured,BB,677,3633984.68,1,0.13028049121506308,0.047169893502128586,0.43442019646369795,74465.99476758609,Very Low,0.11831969955306916,0.4923718506719552,211706.09732290194,137240.10255531585
L000199,2023-10-01,Telecom,bond,unsecured,B,665,4695502.25,0,0.23721591010123125,0.10369497913580528,0.662884096076244,322758.2715804301,Medium,0.2601073080074113,0.7513128344928149,917604.2474858924,594845.9759054623
L000201,2023-07-01,Telecom,mortgage,unsecured,BB,733,12334277.7,0,0.14071452783298957,0.05103523657546655,0.6502519973053574,409322.43522898236,Very Low,0.12801620782218107,0.7369956137458921,1163706.8302486127,754384.3950196303
L000211,2023-09-01,Consumer,term_loan,unsecured,B,685,71947.96,0,0.30352301437424556,0.16376446871128686,0.7381538793625407,8697.312436445765,High,0.3858782084942546,0.8276718134597797,22978.776633047833,14281.464196602068
L000217,2023-07-01,Healthcare,mortgage,secured,BBB,714,323130.88,0,0.15966107337073582,0.05883078797505702,0.43296448526753784,8230.674040705031,Very Low,0.13325729455095717,0.4931285085328394,21233.89011854333,13003.2160778383
L000221,2023-04-01,Energy,term_loan,unsecured,BB,706,1381041.02,0,0.137870901913744,0.049953039004317246,0.6205680676818944,42811.250878422936,Very Low,0.13745119708756692,0.7125500457138553,135260.3407307873,92449.08985236438
L000251,2023-08-01,Energy,term_loan,partially_secured,BB,700,1128832.38,0,0.17198026279379539,0.06448479993756169,0.5070389637583318,36908.64907553678,Very Low,0.17743691118780736,0.5821934057198446,116611.31939469429,79702.6703191575
L000258,2023-04-01,Energy,term_loan,partially_secured,B,690,50000.0,0,0.38866592411551965,0.27795737620119193,0.5442384674764372,7563.754822375411,Very High,0.7648298253660014,0.6249067025446113,23897.36420886194,16333.60938648653
L000289,2023-02-01,Technology,revolving,partially_secured,A,692,1587274.16,0,0.12029388121549223,0.04373215018699302,0.6439883751451684,44702.39635949165,Very Low,0.10703478539934241,0.7155784161821396,121572.15677418005,76869.76041468841
L000306,2023-08-01,Utilities,term_loan,secured,A,782,154485.77,0,0.06937265003155098,0.02962202720161181,0.3982511514374284,1822.4696237255416,Very Low,0.07610344963588729,0.46149722715380104,5425.776757611345,3603.307133885803
L000308,2023-12-01,Financials,revolving,secured,B,703,1410062.72,0,0.17010330196653692,0.06359178706825949,0.4079795324430942,36582.875269949,Very Low,0.16917901106899158,0.46845116536299286,111750.43858723987,75167.56331729087
L000319,2023-04-01,Healthcare,mortgage,unsecured,BBB,700,352078.24,0,0.10198369172532121,0.03804123585501091,0.6475583150861666,8673.066702902148,Very Low,0.08616699428814183,0.7375419392866818,22375.19605920949,13702.129356307343
L000333,2023-04-01,Real_Estate,term_loan,unsecured,AA,790,83145.1,0,0.05366001942950771,0.02623963154621598,0.5193228389845852,1133.0049702012263,Very Low,0.07379780554790502,0.6059199223852647,3717.8797584570066,2584.87478825578
L000334,2023-11-01,Energy,term_loan,secured,BBB,704,3699865.23,0,0.06296148650114965,0.028193664606581233,0.41803457813736594,43606.34036350671,Very Low,0.0775779217381556,0.47999659227461555,137772.3924101299,94166.05204662318
L000335,2023-08-01,Utilities,mortgage,partially_secured,BB,670,8860560.17,0,0.14010996493400782,0.05080331699030896,0.48532054309702366,218465.02695260345,Very Low,0.13052137348984744,0.5623940674412415,650404.5116358442,431939.48468324076
L000340,2023-11-01,Utilities,term_loan,partially_secured,BBB,740,1256533.59,0,0.1388628191755321,0.05032804062958058,0.5147324427172068,32551.099867346384,Very Low,0.12930031693164362,0.5964768568344394,96909.70910883693,64358.60924149055
L000355,2023-04-01,Telecom,mortgage,secured,BB,684,2359317.35,0,0.16541856886150427,0.061412965938422305,0.43387777555857454,62865.71198081251,Very Low,0.154047586297051,0.4917570708180884,178727.7024763817,115861.99049556919
