sector,loans,total_ead,average_pd,average_lgd,total_ecl,covid_ecl,ecl_share_pct,covid_incremental_ecl,covid_incremental_ecl_per_1m_ead
Consumer,551,539590384.5,0.12369273442825572,0.6062832189256191,44160747.14611651,98258140.62719262,3.661645356875129,54097393.48107611,100256.40751772163
Energy,531,2284487983.52,0.1427082376552689,0.5059185963863515,180827386.29662323,440948995.1117753,14.993536165456906,260121608.81515205,113864.29287071571
Financials,493,3281911911.1,0.12794030745419846,0.4911599855394925,187004736.37832853,464353531.5400491,15.505739121843199,277348795.1617205,84508.29963585506
Healthcare,596,1173600260.48,0.11532819590010705,0.5340853535102293,63213475.585096456,147230252.8647864,5.24142693062345,84016777.27968994,71588.9218065845
Industrials,585,2064585489.43,0.13789807807831256,0.544520493594242,175418000.01271892,401896763.2106655,14.545009918732294,226478763.1979466,109696.96549619452
Real_Estate,546,2608960653.45,0.13247269055732772,0.44776911738472863,158194584.03234836,391136815.25938106,13.116908148955087,232942231.2270327,89285.45201285344
Retail,554,420657504.46,0.12633072589662175,0.6166050441547386,36865717.4025014,84611722.38444336,3.0567685485052034,47746004.98194196,113503.2763607385
Technology,546,1374581776.06,0.1208700594149504,0.6477688480631797,106366414.5975235,239455083.57891694,8.819508575110856,133088668.98139344,96821.20867546274
Telecom,592,2140360158.14,0.12334456828650771,0.5491039706336382,128841218.55015215,310550977.81342614,10.683035957641984,181709759.26327398,84896.81447872869
Utilities,512,2443165605.31,0.12155185468594337,0.477675661788878,125143336.28786404,335018113.51752687,10.376421276255895,209874777.22966284,85902.8044490799
