issuer_id,sector,year,from_rating,to_rating,upgraded,downgraded,defaulted,notches_moved,from_score,to_score,calculated_notches_moved,rating_transition_type
I00001,Consumer,2015,A,A,0,0,0,0,5,5,0,unchanged
I00002,Industrials,2015,A,A,0,0,0,0,5,5,0,unchanged
I00003,Industrials,2015,BBB,BB,0,1,0,1,4,3,-1,downgrade
I00004,Industrials,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00005,Real_Estate,2015,A,A,0,0,0,0,5,5,0,unchanged
I00006,Financials,2015,B,B,0,0,0,0,2,2,0,unchanged
I00007,Utilities,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00008,Healthcare,2015,BB,BBB,1,0,0,-1,3,4,1,upgrade
I00009,Consumer,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00010,Real_Estate,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00011,Healthcare,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00012,Retail,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00013,Consumer,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00014,Telecom,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00015,Telecom,2015,B,B,0,0,0,0,2,2,0,unchanged
I00016,Healthcare,2015,B,CCC,0,1,0,1,2,1,-1,downgrade
I00017,Retail,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00018,Consumer,2015,B,BB,1,0,0,-1,2,3,1,upgrade
I00019,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00020,Healthcare,2015,CCC,CCC,0,0,0,0,1,1,0,unchanged
I00021,Financials,2015,BB,BB,0,0,0,0,3,3,0,unchanged
I00022,Consumer,2015,B,B,0,0,0,0,2,2,0,unchanged
I00023,Financials,2015,CCC,D,0,0,1,1,1,0,-1,default
I00024,Financials,2015,B,D,0,0,1,2,2,0,-2,default
I00025,Retail,2015,AAA,AAA,0,0,0,0,7,7,0,unchanged
I00026,Telecom,2015,B,D,0,0,1,2,2,0,-2,default
I00027,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
I00028,Telecom,2015,BBB,BBB,0,0,0,0,4,4,0,unchanged
I00029,Energy,2015,B,BB,1,0,0,-1,2,3,1,upgrade
I00030,Utilities,2015,B,B,0,0,0,0,2,2,0,unchanged
I00031,Utilities,2015,A,A,0,0,0,0,5,5,0,unchanged
I00032,Healthcare,2015,B,B,0,0,0,0,2,2,0,unchanged
